time;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
23.095000;-3.572484;11.593225;-0.330210;-2.180178;0.620028;0.793972
23.256000;-2.222334;11.084751;3.537190;0.778242;0.137597;0.236863
23.416000;-1.185644;9.719646;9.259027;4.995198;2.466216;0.023824
23.530000;0.615554;10.919048;6.211169;1.561830;0.487165;-0.544128
23.692000;-0.105882;10.085149;2.090131;-2.136348;1.168432;-0.518930
23.851000;-0.335593;9.842875;1.293919;-0.772286;-0.096211;-0.257938
23.967000;0.454636;11.060822;0.270987;-1.045190;-0.099418;-0.132863
24.125000;-3.336193;14.436498;1.137787;-2.382375;-0.070555;0.251524
24.288000;-1.019941;7.058827;2.886940;-1.644602;-3.772704;0.429438
24.404000;-1.738386;12.900904;7.550552;3.793168;2.046399;-0.133474
24.563000;0.838086;12.595221;4.801198;5.245500;4.054465;-0.013286
24.685000;0.552742;10.710873;3.318247;-1.928043;1.135140;-0.507782
24.846000;0.090329;9.545568;0.294317;-1.041220;-0.117286;-0.335060
25.000000;1.153340;10.559526;0.914656;-0.815047;-0.269850;-0.014050
25.120000;1.599602;13.826327;-2.350350;-1.637577;0.277638;0.379347
25.280000;-2.375475;8.404790;3.014956;-3.234073;-2.030516;0.294895
25.435000;-1.791028;10.463814;5.770292;1.917506;1.346042;0.214261
25.556000;-0.611964;8.420941;10.715060;5.797569;2.920699;-0.505033
25.716000;0.899103;11.341979;4.262215;0.040317;0.250455;-0.412334
25.871000;0.157328;10.010373;1.642673;-1.769066;0.272140;-0.448375
25.992000;0.058624;10.054043;1.153939;-0.541227;-0.221133;-0.047953
26.152000;0.539581;11.961720;-0.481556;-0.940580;-0.210138;0.126755
26.302000;-3.690331;13.649857;2.992225;-2.516612;0.090103;0.802677
26.463000;0.133998;6.747162;2.843870;-1.171487;-2.046093;0.486096
26.584000;-2.059622;13.489537;8.686544;4.257120;2.087937;-0.305433
26.743000;2.782853;14.209777;5.153542;4.858975;3.442684;-0.342390
