[2.51763e-02],[2.46074e-02],[2.84346e-02]
[2.64475e-02],[2.53452e-02],[2.88496e-02]
[2.78251e-02],[2.61101e-02],[2.92504e-02]
[2.93258e-02],[2.69014e-02],[2.96301e-02]
[3.09650e-02],[2.77137e-02],[2.99812e-02]
[3.27530e-02],[2.85380e-02],[3.02994e-02]
[3.46970e-02],[2.93671e-02],[3.05851e-02]
[3.68038e-02],[3.01979e-02],[3.08381e-02]
[3.90777e-02],[3.10282e-02],[3.10576e-02]
[4.15221e-02],[3.18480e-02],[3.12503e-02]
[4.41440e-02],[3.26371e-02],[3.14385e-02]
[4.69510e-02],[3.33819e-02],[3.16655e-02]
[4.99405e-02],[3.40916e-02],[3.20109e-02]
[5.31099e-02],[3.47953e-02],[3.26152e-02]
[5.64822e-02],[3.55354e-02],[3.36739e-02]
[6.01106e-02],[3.63561e-02],[3.53640e-02]
[6.40487e-02],[3.72834e-02],[3.77611e-02]
[6.83228e-02],[3.83217e-02],[4.08233e-02]
[7.29439e-02],[3.94647e-02],[4.44555e-02]
[7.79693e-02],[4.07022e-02],[4.86273e-02]
[8.35331e-02],[4.20233e-02],[5.33992e-02]
[8.97751e-02],[4.34211e-02],[5.88079e-02]
[9.67587e-02],[4.48948e-02],[6.47869e-02]
[1.04473e-01],[4.64359e-02],[7.11651e-02]
[1.12895e-01],[4.80252e-02],[7.76915e-02]
[1.21982e-01],[4.96747e-02],[8.40241e-02]
[1.31728e-01],[5.14167e-02],[8.99851e-02]
[1.42371e-01],[5.32894e-02],[9.57627e-02]
[1.44248e-01],[5.36221e-02],[9.69726e-02]
[1.57094e-01],[5.58223e-02],[1.02297e-01]
[1.70835e-01],[5.81461e-02],[1.07066e-01]
[1.85296e-01],[6.05940e-02],[1.11128e-01]
[2.00345e-01],[6.31754e-02],[1.14397e-01]
[2.15913e-01],[6.58844e-02],[1.16851e-01]
[2.31994e-01],[6.87114e-02],[1.18525e-01]
[2.48611e-01],[7.16458e-02],[1.19477e-01]
[2.65797e-01],[7.46845e-02],[1.19763e-01]
[2.83586e-01],[7.78325e-02],[1.19429e-01]
[3.01988e-01],[8.10956e-02],[1.18517e-01]
[3.21009e-01],[8.44796e-02],[1.17063e-01]
[3.40640e-01],[8.79894e-02],[1.15101e-01]
[3.60853e-01],[9.16275e-02],[1.12665e-01]
[3.81623e-01],[9.53977e-02],[1.09788e-01]
[4.02924e-01],[9.93057e-02],[1.06513e-01]
[4.24716e-01],[1.03360e-01],[1.02887e-01]
[4.46975e-01],[1.07577e-01],[9.89625e-02]
[4.69678e-01],[1.11968e-01],[9.48019e-02]
[4.92803e-01],[1.16535e-01],[9.04737e-02]
[5.16338e-01],[1.21267e-01],[8.60453e-02]
[5.40273e-01],[1.26152e-01],[8.15820e-02]
[5.64577e-01],[1.31187e-01],[7.71481e-02]
[5.89218e-01],[1.36378e-01],[7.28039e-02]
[6.14161e-01],[1.41727e-01],[6.86065e-02]
[6.39358e-01],[1.47222e-01],[6.46080e-02]
[6.64776e-01],[1.52836e-01],[6.08520e-02]
[6.90386e-01],[1.58529e-01],[5.73778e-02]
[7.16149e-01],[1.64252e-01],[5.42211e-02]
[7.42038e-01],[1.69958e-01],[5.14033e-02]
[7.68028e-01],[1.75602e-01],[4.89347e-02]
[7.94085e-01],[1.81130e-01],[4.68236e-02]
[8.20187e-01],[1.86487e-01],[4.50782e-02]
[8.46314e-01],[1.91621e-01],[4.37134e-02]
[8.72433e-01],[1.96502e-01],[4.27546e-02]
[8.98513e-01],[2.01117e-01],[4.22316e-02]
[9.24520e-01],[2.05463e-01],[4.21738e-02]
[9.50404e-01],[2.09538e-01],[4.26052e-02]
[9.76118e-01],[2.13349e-01],[4.35388e-02]
[1.00161e+00],[2.16902e-01],[4.49761e-02]
[1.02680e+00],[2.20205e-01],[4.69122e-02]
[1.05161e+00],[2.23274e-01],[4.93444e-02]
[1.07596e+00],[2.26130e-01],[5.22799e-02]
[1.09973e+00],[2.28799e-01],[5.57238e-02]
[1.12281e+00],[2.31302e-01],[5.96502e-02]
[1.14509e+00],[2.33659e-01],[6.39761e-02]
[1.16649e+00],[2.35883e-01],[6.85541e-02]
[1.18695e+00],[2.37970e-01],[7.31933e-02]
[1.20642e+00],[2.39908e-01],[7.76949e-02]
[1.22480e+00],[2.41693e-01],[8.18764e-02]
[1.24193e+00],[2.43348e-01],[8.55705e-02]
[1.25765e+00],[2.44922e-01],[8.86027e-02]
[1.27183e+00],[2.46448e-01],[9.07816e-02]
[1.28449e+00],[2.47898e-01],[9.19403e-02]
[1.29577e+00],[2.49181e-01],[9.20028e-02]
[1.30584e+00],[2.50201e-01],[9.10170e-02]
[1.31481e+00],[2.50929e-01],[8.91383e-02]
[1.32274e+00],[2.51391e-01],[8.65743e-02]
[1.32966e+00],[2.51617e-01],[8.35157e-02]
[1.33562e+00],[2.51606e-01],[8.00981e-02]
[1.34076e+00],[2.51334e-01],[7.63924e-02]
[1.34526e+00],[2.50771e-01],[7.24139e-02]
[1.34932e+00],[2.49867e-01],[6.81304e-02]
[1.35329e+00],[2.48599e-01],[6.36260e-02]
[1.35742e+00],[2.47095e-01],[5.92054e-02]
[1.36171e+00],[2.45557e-01],[5.50252e-02]
[1.36596e+00],[2.44105e-01],[5.09400e-02]
[1.36995e+00],[2.42839e-01],[4.69113e-02]
[1.37354e+00],[2.41952e-01],[4.31710e-02]
[1.37669e+00],[2.41624e-01],[3.99277e-02]
[1.37948e+00],[2.41877e-01],[3.71516e-02]
[1.38202e+00],[2.42598e-01],[3.46662e-02]
[1.38443e+00],[2.43595e-01],[3.23222e-02]
[1.38678e+00],[2.44633e-01],[3.00495e-02]
[1.38909e+00],[2.45526e-01],[2.78324e-02]
[1.39135e+00],[2.46210e-01],[2.56992e-02]
[1.39352e+00],[2.46736e-01],[2.37995e-02]
[1.39550e+00],[2.47246e-01],[2.23600e-02]
[1.39725e+00],[2.47869e-01],[2.13924e-02]
[1.39885e+00],[2.48572e-01],[2.06778e-02]
[1.40043e+00],[2.49271e-01],[2.00645e-02]
[1.40200e+00],[2.49981e-01],[1.95531e-02]
[1.40079e+00],[2.49316e-01],[1.97744e-02]
[1.39959e+00],[2.48636e-01],[1.99518e-02]
[1.39840e+00],[2.47953e-01],[2.00908e-02]
[1.39725e+00],[2.47285e-01],[2.01944e-02]
[1.39614e+00],[2.46624e-01],[2.02724e-02]
[1.39505e+00],[2.45950e-01],[2.03366e-02]
[1.39401e+00],[2.45266e-01],[2.03867e-02]
[1.39300e+00],[2.44581e-01],[2.04209e-02]
[1.39201e+00],[2.43905e-01],[2.04418e-02]
[1.39106e+00],[2.43243e-01],[2.04504e-02]
[1.39014e+00],[2.42593e-01],[2.04476e-02]
